ClientID,Age,Gender,Annual_Income_k$,Spending_Score,Visit_Frequency_per_Month,Time_Spent_per_Visit_min,Online_Shopping_Ratio,Loyalty_Program,Days_Since_Last_Visit,Cluster
8,56,Male,34,29,21,139,0.308917722843766,No,12,1
14,53,Male,21,10,21,107,0.4064627179520722,Yes,33,1
15,57,Male,41,53,4,14,0.7718360352301099,No,102,1
21,61,Male,29,21,17,101,0.8255348415204157,Yes,164,1
28,39,Male,40,45,21,36,0.0498601463991642,Yes,121,1
29,61,Male,14,68,10,19,0.1499092532471396,No,11,1
30,42,Male,19,7,7,66,0.5375811380515143,No,148,1
45,38,Male,13,17,12,175,0.498967944220793,No,133,1
47,56,Male,49,27,10,170,0.6844353610693075,No,87,1
52,67,Male,61,25,17,114,0.648256954077822,Yes,95,1
58,64,Male,16,27,6,100,0.5183654633353206,Yes,131,1
60,61,Male,23,19,25,66,0.6268329044150672,Yes,17,1
77,61,Male,43,43,22,149,0.2626954770019353,Yes,179,1
78,51,Male,61,48,25,22,0.8747660625539935,No,123,1
82,48,Female,30,61,27,86,0.6231378537478254,Yes,163,1
83,65,Male,51,50,9,21,0.3560672991191448,No,160,1
93,64,Female,38,10,26,111,0.1271104908670239,No,127,1
95,43,Male,19,38,10,13,0.1608602934850979,Yes,55,1
97,62,Male,30,36,2,159,0.7588681344179496,Yes,158,1
98,58,Male,37,59,16,19,0.1057965202727989,Yes,58,1
116,52,Female,67,54,12,53,0.2383372106279969,Yes,28,1
120,56,Male,37,56,29,56,0.1068209929639906,Yes,175,1
121,58,Male,60,59,7,104,0.2388451604036069,Yes,73,1
127,51,Female,73,40,5,104,0.0351592502711941,Yes,161,1
129,65,Female,47,37,24,156,0.5441086239394686,Yes,8,1
135,57,Male,82,22,24,14,0.258226813259983,No,138,1
150,44,Male,22,55,20,165,0.1981963864216681,No,98,1
155,59,Female,20,38,13,72,0.9059116712346476,Yes,177,1
157,68,Male,24,29,16,6,0.1785197892725987,No,44,1
158,49,Male,26,5,27,146,0.4930301251588023,Yes,102,1
159,56,Female,68,74,5,112,0.0819384390381461,Yes,105,1
164,47,Female,41,47,14,165,0.9232860210139356,Yes,46,1
168,62,Male,41,68,12,102,0.6589018065748572,No,149,1
170,60,Female,48,1,17,153,0.2650472874092833,Yes,18,1
172,53,Female,27,12,23,52,0.0520237550294468,No,114,1
180,59,Male,31,63,9,128,0.1512642844626759,Yes,57,1
183,45,Male,22,25,12,24,0.756310096980294,Yes,121,1
184,45,Female,11,55,2,50,0.5396617889031524,Yes,86,1
185,61,Male,38,46,5,135,0.0774836265554826,No,130,1
186,61,Male,36,32,13,16,0.0180290089589122,Yes,54,1
190,45,Male,53,36,8,82,0.6374024812092216,Yes,90,1
193,50,Male,12,39,15,166,0.3616660831950428,No,23,1
196,69,Male,32,85,21,104,0.7831600290279028,Yes,109,1
198,58,Female,48,9,17,22,0.5122605638762605,No,93,1
209,61,Female,14,87,5,57,0.7233303039939631,No,197,1
213,49,Male,73,57,25,139,0.3011755869973588,Yes,169,1
216,69,Female,19,29,13,147,0.2546637658899618,Yes,3,1
218,66,Female,55,87,28,126,0.4074078813546854,No,16,1
219,69,Female,75,13,27,73,0.9865694907793264,No,113,1
221,56,Male,22,46,8,41,0.1421813763873516,No,56,1
224,66,Female,99,17,20,135,0.0545092774137195,No,171,1
226,66,Male,63,66,23,21,0.5119386306819278,Yes,116,1
227,34,Male,21,6,11,158,0.5270076245815337,No,160,1
228,66,Male,23,18,7,153,0.5615945077121942,Yes,30,1
231,45,Female,29,33,24,125,0.3188173228730047,Yes,133,1
234,49,Male,65,32,22,76,0.1163317271332612,Yes,70,1
247,55,Female,13,15,2,173,0.1558515365514434,No,69,1
250,69,Female,26,72,6,149,0.2093060758342085,No,180,1
