ClientID,Age,Gender,Annual_Income_k$,Spending_Score,Visit_Frequency_per_Month,Time_Spent_per_Visit_min,Online_Shopping_Ratio,Loyalty_Program,Days_Since_Last_Visit,Cluster
4,32,Female,63,70,16,36,0.7900832499714378,No,34,3
11,28,Female,34,83,1,65,0.8109351926726106,Yes,191,3
13,41,Female,77,89,23,10,0.9471529360063548,Yes,62,3
17,20,Female,105,59,26,94,0.897532326522084,Yes,127,3
19,19,Male,40,51,18,153,0.0874168078710838,Yes,55,3
27,29,Male,69,65,28,45,0.9522600783623236,Yes,111,3
34,45,Female,20,83,4,134,0.9603667746221304,No,181,3
41,20,Female,16,32,11,26,0.8226574684804273,Yes,24,3
44,24,Male,13,38,3,105,0.4595629775055219,Yes,85,3
46,26,Male,112,74,3,121,0.0722131853351879,Yes,179,3
48,35,Female,26,54,27,45,0.5032204148586344,Yes,148,3
57,45,Female,71,73,20,134,0.9623380574812068,No,189,3
61,25,Female,95,92,29,141,0.2531989070128102,Yes,80,3
64,31,Female,71,41,10,21,0.978947355854662,No,23,3
71,23,Female,22,96,10,153,0.0894731228103872,No,130,3
74,46,Female,61,63,22,156,0.8561536219946603,No,130,3
76,43,Female,35,69,13,113,0.0907208827478308,No,34,3
81,31,Male,51,75,11,49,0.1011656196131032,No,121,3
86,31,Female,26,58,26,161,0.6392018293899598,Yes,47,3
92,35,Male,57,48,12,51,0.5935752544142979,No,7,3
99,46,Female,43,63,20,23,0.5061398526946443,No,57,3
100,32,Female,17,77,7,94,0.8146250560259172,Yes,139,3
104,24,Male,78,65,19,178,0.5356889704560298,No,190,3
105,26,Female,96,91,28,96,0.3941904945999079,No,73,3
107,18,Female,17,51,24,135,0.492982710458089,Yes,147,3
109,25,Male,96,73,27,23,0.4903124894098283,Yes,47,3
113,34,Female,26,60,2,67,0.333299859870525,No,121,3
115,52,Male,30,97,15,111,0.572772509737109,No,198,3
122,45,Female,14,85,24,121,0.9492811717559836,No,183,3
124,26,Male,103,61,10,11,0.1688592893670353,No,16,3
125,25,Male,105,58,14,50,0.4606727916549932,Yes,136,3
126,29,Male,17,60,14,50,0.3070877433602487,Yes,96,3
137,44,Male,45,58,4,148,0.4577646127041341,No,60,3
139,18,Female,77,77,4,96,0.2059881841884732,No,12,3
145,18,Female,19,88,24,82,0.5637371014453995,Yes,91,3
148,31,Female,11,79,13,94,0.0522791032687596,No,36,3
152,32,Male,41,78,6,125,0.3525292413005173,Yes,167,3
153,32,Female,41,38,3,49,0.7226835744744866,Yes,53,3
156,30,Male,19,85,27,158,0.1266371255183743,No,40,3
163,21,Male,31,67,19,48,0.3762593293304219,Yes,85,3
171,46,Female,21,68,13,160,0.6720595026617354,No,158,3
175,24,Male,55,56,7,91,0.9994606810596732,Yes,169,3
179,19,Female,98,61,17,52,0.3000670829054399,No,140,3
182,23,Female,38,88,15,88,0.3759712219291391,Yes,66,3
187,37,Female,59,55,27,44,0.1023321795340631,No,88,3
191,42,Female,31,49,27,20,0.8018258998755151,No,51,3
194,18,Female,127,80,11,48,0.1084003727166227,Yes,71,3
195,44,Male,28,97,1,138,0.875933022186205,No,8,3
197,30,Male,39,61,3,26,0.1681180975977251,No,164,3
201,23,Male,34,39,14,121,0.9461868939912612,Yes,180,3
210,41,Male,12,80,9,111,0.1360562344316429,Yes,68,3
229,19,Female,130,94,15,76,0.1708137063062107,Yes,111,3
236,18,Female,141,78,16,129,0.0219818148096229,No,107,3
240,43,Male,29,73,3,18,0.1356266160073134,No,170,3
243,49,Female,46,78,21,42,0.6428065910861737,Yes,73,3
244,21,Male,63,39,15,112,0.7827456742513867,No,80,3
249,22,Male,29,24,20,126,0.8421937308731146,No,40,3
252,23,Male,80,47,29,119,0.7032800540422505,No,197,3
254,28,Male,23,62,19,16,0.9200400525459036,No,88,3
260,33,Male,33,47,27,110,0.402260413683542,Yes,133,3
263,37,Female,58,50,20,136,0.1233184910752922,No,91,3
268,36,Female,39,93,4,85,0.153412882389088,Yes,141,3
269,37,Male,67,48,19,78,0.3665511873792262,Yes,70,3
282,42,Female,13,69,20,128,0.5785639322793544,No,166,3
284,40,Female,56,49,21,14,0.5540992803958261,Yes,17,3
290,33,Female,99,65,20,90,0.8668214856884892,Yes,176,3
291,43,Male,78,62,8,153,0.8939730574625047,No,158,3
296,18,Male,116,79,26,139,0.7569268451270138,No,191,3
302,26,Female,60,54,20,48,0.4638098246743762,Yes,108,3
305,36,Female,78,56,16,78,0.0180810922056854,No,18,3
307,33,Male,73,93,19,126,0.5498769211562105,Yes,114,3
308,20,Male,58,86,12,138,0.6195825928270868,Yes,8,3
309,37,Female,83,80,15,149,0.6634903451287101,Yes,111,3
312,41,Male,79,71,11,156,0.1204818224384679,Yes,167,3
314,28,Female,13,29,10,14,0.1566128148926499,Yes,47,3
323,42,Female,69,53,20,22,0.9283725519807918,Yes,13,3
330,19,Male,115,66,8,114,0.8436805296649776,No,37,3
336,21,Male,89,57,24,27,0.207511495384879,No,34,3
338,31,Female,79,79,11,130,0.8677231528050924,Yes,89,3
339,38,Male,53,92,7,91,0.4321162368019293,No,51,3
341,37,Female,54,49,4,68,0.452215100101718,Yes,106,3
343,24,Male,93,82,12,6,0.3894346800776732,No,130,3
344,20,Female,91,66,26,22,0.9517024063905372,No,196,3
353,47,Male,67,83,21,76,0.4426548482604331,No,50,3
359,44,Male,58,59,29,91,0.3673405152772799,No,181,3
370,36,Female,90,62,26,98,0.647720054420612,Yes,26,3
371,21,Female,70,49,11,23,0.0292994431034183,No,44,3
374,34,Female,37,31,9,69,0.5457496797794357,Yes,24,3
377,47,Male,26,79,23,38,0.1933392336120521,Yes,173,3
396,20,Male,47,71,16,160,0.4177085669729758,No,162,3
397,35,Male,68,92,14,86,0.0730850910261502,No,87,3
410,19,Female,129,90,21,145,0.945017094248494,No,79,3
413,19,Male,101,62,26,56,0.4657255776674975,Yes,54,3
424,43,Male,51,57,10,103,0.9355230227588572,Yes,96,3
429,30,Male,60,94,29,15,0.8276102613491533,Yes,8,3
430,24,Male,20,76,18,112,0.9678645659513552,No,23,3
434,18,Male,50,79,1,89,0.0278410512625862,Yes,90,3
435,25,Male,94,80,1,172,0.2466564468447778,No,171,3
437,33,Female,64,90,21,127,0.6285039000835678,No,70,3
439,29,Male,56,50,2,72,0.7426359896816905,No,121,3
441,40,Male,51,90,17,84,0.5649526076524732,Yes,163,3
445,19,Male,16,96,26,157,0.693400853429044,Yes,125,3
450,42,Male,36,67,9,101,0.4406031140591747,No,87,3
456,23,Female,110,96,19,103,0.0597622741783844,Yes,50,3
466,21,Female,148,79,28,46,0.199156897597067,No,59,3
471,47,Female,72,88,15,60,0.5051155557440064,Yes,84,3
482,34,Female,34,70,7,87,0.721449157109572,Yes,56,3
488,40,Male,18,60,12,150,0.5527038900455401,Yes,68,3
491,18,Male,69,48,18,29,0.5295336150224574,Yes,61,3
497,42,Female,85,71,26,57,0.5391937941273144,No,7,3
503,22,Female,91,97,6,109,0.99684928428144,Yes,142,3
504,39,Male,67,54,12,8,0.4303431736890725,Yes,162,3
506,20,Female,32,48,24,173,0.9066532969519988,No,42,3
513,46,Female,24,91,10,73,0.6860911539434869,No,60,3
514,31,Male,100,96,1,102,0.948790497691918,Yes,141,3
516,22,Female,134,74,5,171,0.8114659391516817,No,52,3
525,43,Female,13,75,23,171,0.9689443971742911,No,87,3
526,43,Male,56,59,29,94,0.7139579478647715,Yes,6,3
528,38,Male,30,54,11,42,0.517131892010638,No,37,3
536,22,Male,124,78,22,130,0.1948404916553641,No,92,3
541,27,Female,55,55,18,55,0.7146960890066222,Yes,14,3
542,36,Female,47,79,12,47,0.603792757286118,Yes,13,3
544,18,Male,81,99,5,128,0.4108163955674278,No,14,3
547,21,Male,87,69,12,147,0.1306343815573597,No,26,3
548,33,Male,93,85,27,31,0.3718367845664194,No,92,3
550,33,Male,34,83,11,168,0.2217794919335464,No,52,3
557,41,Female,28,66,29,59,0.8076258695629751,Yes,106,3
558,29,Female,37,74,24,60,0.7714733448596064,Yes,42,3
565,54,Male,28,87,23,160,0.7990821457719545,No,79,3
568,18,Female,39,98,23,153,0.8453299756887267,Yes,1,3
586,25,Female,25,32,21,72,0.0754121759927882,No,62,3
589,27,Female,21,18,27,59,0.888272196511506,No,33,3
594,24,Male,78,87,29,142,0.9673281113534696,No,174,3
595,21,Female,57,75,27,14,0.2685989329145974,Yes,2,3
599,46,Female,77,87,10,140,0.5027834418466806,No,3,3
601,42,Male,74,59,29,117,0.442066213118075,Yes,158,3
602,38,Female,17,89,15,82,0.3341046520865632,No,44,3
604,27,Female,96,74,6,34,0.5856543354287992,No,44,3
606,26,Male,85,83,15,13,0.7610059829495553,No,164,3
607,41,Male,56,65,6,149,0.7130142918617408,Yes,192,3
613,35,Female,30,76,8,170,0.3235246137370379,Yes,25,3
618,40,Female,64,93,4,165,0.697013013934263,No,29,3
621,29,Female,13,50,3,101,0.4202496018075419,No,63,3
623,30,Female,76,50,8,40,0.0058647278871613,Yes,142,3
631,37,Male,70,94,14,75,0.5689214058447163,Yes,86,3
639,29,Female,118,77,2,29,0.049148390345177,Yes,71,3
641,36,Female,44,37,22,9,0.7905136075336477,Yes,153,3
643,26,Female,65,66,17,25,0.3016622416311488,No,28,3
645,45,Male,55,54,12,179,0.8543995133256802,Yes,173,3
659,40,Female,18,84,28,176,0.5368591465026183,Yes,153,3
660,33,Female,97,55,26,113,0.9365702180708392,Yes,199,3
665,31,Male,97,80,4,91,0.0363407483162424,No,165,3
667,22,Male,60,59,23,70,0.7284939338474402,Yes,34,3
669,40,Female,50,48,6,139,0.3712709205053938,No,127,3
673,35,Male,86,88,25,63,0.4063664052774615,No,142,3
676,26,Female,54,51,11,21,0.8183606413952167,No,89,3
677,27,Male,10,84,14,31,0.1716781950432169,No,23,3
679,34,Female,28,81,18,6,0.6928784276966522,Yes,100,3
681,24,Female,81,57,28,66,0.6995278704025719,Yes,12,3
683,30,Male,21,79,28,23,0.1383975859681245,Yes,97,3
699,39,Male,50,71,26,18,0.8962567164715789,No,161,3
701,34,Female,38,34,6,150,0.8589805471222202,No,131,3
703,42,Male,60,50,24,61,0.8649949762077763,No,115,3
709,36,Female,48,84,25,27,0.320567586016499,Yes,34,3
713,27,Female,126,72,15,13,0.4418537080910639,Yes,180,3
721,45,Female,21,94,12,152,0.1303179880912909,Yes,22,3
722,37,Male,74,56,15,69,0.3456270370361589,No,45,3
723,45,Male,64,60,13,113,0.807702369044057,Yes,27,3
727,18,Male,58,49,23,127,0.8587449685295802,No,3,3
730,45,Male,47,96,3,107,0.5552958253281813,Yes,66,3
735,23,Female,128,95,14,178,0.3093685620800128,No,18,3
745,54,Male,32,92,22,75,0.8032121232440932,Yes,138,3
748,36,Female,57,62,22,42,0.6618603122150055,Yes,144,3
749,37,Female,66,69,19,141,0.3555297971520076,No,181,3
754,31,Female,16,99,28,162,0.3789559098125076,No,118,3
755,32,Male,65,44,28,8,0.302767607617425,Yes,100,3
757,18,Male,56,62,1,157,0.8179634943491536,Yes,33,3
758,20,Male,28,87,19,160,0.9299217631456648,No,96,3
761,28,Female,58,95,20,27,0.9032736222389142,Yes,39,3
762,29,Male,122,95,29,52,0.0985468514129424,No,96,3
763,27,Female,47,57,17,152,0.232078577866165,No,139,3
765,33,Female,78,53,26,170,0.8237444619122997,No,155,3
771,25,Male,122,89,6,99,0.2911964549966241,Yes,199,3
783,34,Female,15,81,14,112,0.2236025483236711,No,85,3
791,30,Male,110,82,8,49,0.9384476404104076,Yes,105,3
795,35,Male,27,63,1,48,0.8618438232948299,Yes,43,3
797,22,Female,38,44,23,82,0.9945642566845248,No,111,3
799,42,Male,68,83,23,105,0.0740749072104477,Yes,35,3
801,27,Male,118,71,11,7,0.4078942367801904,No,87,3
802,47,Male,31,99,23,90,0.2874025338454825,Yes,148,3
808,35,Female,62,68,1,149,0.8368634222265923,No,11,3
812,28,Male,51,62,23,70,0.2804550647600553,Yes,151,3
816,39,Female,94,83,18,21,0.7928400452735271,Yes,12,3
819,30,Female,53,90,15,73,0.2322896540964526,Yes,73,3
825,38,Female,33,72,16,7,0.1647308960810617,No,70,3
827,23,Male,120,77,27,105,0.2872576948770676,Yes,27,3
830,22,Female,26,63,9,39,0.989279945106385,Yes,42,3
832,22,Male,91,92,13,112,0.3550152661362467,No,12,3
834,20,Female,28,94,21,72,0.5031335547483198,No,34,3
835,40,Female,94,67,26,50,0.3159358223856368,No,22,3
838,27,Female,14,98,13,159,0.938719301977863,No,129,3
839,27,Female,110,80,13,10,0.8050933767995262,Yes,60,3
841,34,Male,73,96,23,168,0.5505453006199955,Yes,63,3
844,26,Male,107,72,22,6,0.3984787621092144,No,194,3
846,18,Female,63,57,28,70,0.4673873354479254,Yes,66,3
850,21,Male,14,99,2,26,0.0980445381109398,Yes,171,3
858,25,Female,117,93,29,43,0.7394746538841134,No,119,3
862,20,Male,111,89,11,16,0.773995087294009,No,166,3
865,18,Female,101,85,8,101,0.795544391926648,Yes,157,3
874,32,Female,90,77,17,124,0.9752445352839586,Yes,164,3
878,19,Male,72,97,13,75,0.1972426661670168,No,136,3
897,32,Male,56,89,22,49,0.1936238097954608,Yes,51,3
901,34,Female,35,82,10,155,0.0717353437474249,No,108,3
906,34,Male,76,93,12,88,0.0194012456182154,Yes,22,3
907,27,Female,74,94,8,93,0.3270067684961021,Yes,116,3
908,34,Male,45,82,23,83,0.6279587353429078,Yes,105,3
910,41,Female,46,43,2,97,0.9095866950537772,Yes,52,3
911,22,Female,10,85,25,76,0.6338894618324419,No,95,3
912,51,Female,46,94,29,169,0.0719067173164456,Yes,185,3
919,28,Male,113,73,16,22,0.1796512179553419,Yes,19,3
922,40,Male,43,95,10,121,0.503072600271609,No,193,3
924,48,Male,13,87,25,68,0.6200013334774084,No,0,3
928,21,Female,81,57,24,127,0.1928396089422456,Yes,5,3
931,42,Male,54,54,9,91,0.2655875983073599,Yes,49,3
934,20,Male,132,99,8,106,0.3216863687013094,Yes,199,3
936,46,Male,25,98,13,102,0.9431958496934508,No,19,3
942,22,Female,22,97,15,63,0.4605825506946666,No,123,3
944,45,Male,43,57,25,123,0.9300053777910726,Yes,198,3
950,22,Female,36,65,15,98,0.3200595641835825,Yes,171,3
952,29,Female,62,62,15,159,0.2297162836832317,Yes,32,3
955,51,Male,22,95,13,11,0.6433697250697605,Yes,110,3
957,31,Female,62,97,10,51,0.052347178431313,Yes,6,3
960,44,Male,34,85,29,57,0.8514891816465466,No,166,3
961,26,Male,40,85,9,147,0.4830662451933026,Yes,23,3
964,39,Male,41,56,16,99,0.2005646595880699,No,103,3
966,47,Male,19,86,9,141,0.2918671770363997,Yes,37,3
972,18,Female,62,49,10,130,0.9344107945712148,Yes,197,3
973,25,Female,88,99,13,7,0.0484642324758223,Yes,52,3
975,52,Female,39,88,24,33,0.565888605101759,Yes,178,3
979,39,Female,21,63,10,106,0.6491539648308727,No,165,3
985,41,Male,84,56,2,70,0.1287544373680554,No,191,3
991,24,Male,105,86,8,103,0.31003402401245,Yes,168,3
992,20,Female,47,90,7,39,0.8119677423908017,No,115,3
1003,32,Female,74,83,20,73,0.4737732925144229,No,18,3
1011,39,Male,65,48,26,168,0.9559800588260724,Yes,176,3
1015,34,Male,32,76,23,135,0.6421102350255211,No,144,3
1016,30,Female,22,72,6,137,0.2981503562765556,Yes,8,3
1018,42,Female,33,80,26,30,0.8425545014651813,Yes,171,3
1020,27,Male,20,38,18,9,0.6604697213644312,Yes,135,3
1021,20,Male,26,27,11,19,0.4708164193658981,No,118,3
1024,35,Female,30,56,5,5,0.0606830689506823,No,190,3
1031,25,Male,112,67,16,124,0.0388129478118021,Yes,45,3
1039,23,Female,109,67,3,106,0.4707059473159374,No,156,3
1048,38,Male,96,76,17,89,0.6670368571253539,Yes,74,3
1050,23,Female,17,44,16,12,0.3456201689007895,No,58,3
1052,21,Female,45,47,22,50,0.0387994547288874,Yes,94,3
1054,28,Female,12,87,19,97,0.8312458050899425,Yes,77,3
1055,47,Female,37,95,8,13,0.7667683563383357,Yes,112,3
1057,41,Male,37,84,28,98,0.3768106277742125,Yes,105,3
1059,20,Male,74,87,20,142,0.0002410046851345,No,32,3
1061,48,Male,30,87,10,84,0.2082318086082144,Yes,189,3
1066,48,Male,63,66,27,41,0.5042634607930315,Yes,119,3
1070,45,Female,56,89,25,173,0.3564047358496647,No,3,3
1071,28,Female,62,84,6,97,0.7476518245649778,No,55,3
1072,21,Male,83,49,24,84,0.5506905446947946,No,63,3
1073,32,Female,55,86,18,106,0.8167933695743474,No,195,3
1074,23,Female,22,85,23,160,0.959592147609234,Yes,161,3
1076,47,Female,33,97,29,163,0.6038030788437534,Yes,55,3
1087,22,Male,33,47,3,46,0.8361186155450426,No,54,3
1088,23,Female,38,87,11,139,0.264967061555443,Yes,75,3
1090,21,Female,99,91,29,168,0.5376921285909715,No,129,3
1094,37,Male,25,99,16,50,0.646046944096596,Yes,83,3
1103,28,Male,66,72,16,174,0.5272551499506771,No,139,3
1105,30,Male,21,61,27,129,0.4837968965827963,No,25,3
1111,27,Female,60,56,8,57,0.910824220330396,Yes,13,3
