ClientID,Age,Gender,Annual_Income_k$,Spending_Score,Visit_Frequency_per_Month,Time_Spent_per_Visit_min,Online_Shopping_Ratio,Loyalty_Program,Days_Since_Last_Visit,Cluster
1,56,Female,74,97,28,75,0.8254398957486287,Yes,10,2
2,69,Male,119,96,24,7,0.1466083003600031,Yes,133,2
3,46,Female,89,48,17,62,0.1596663493671507,Yes,122,0
4,32,Female,63,70,16,36,0.7900832499714378,No,34,3
5,60,Male,134,59,16,35,0.6162907483541447,Yes,32,2
6,25,Female,140,59,14,86,0.044860557627717,No,17,0
7,38,Female,143,2,7,47,0.6225469904622817,Yes,164,0
8,56,Male,34,29,21,139,0.308917722843766,No,12,1
9,36,Male,126,68,11,109,0.3687251554708459,No,89,2
10,40,Male,145,65,24,5,0.7697314182968802,Yes,109,2
11,28,Female,34,83,1,65,0.8109351926726106,Yes,191,3
12,28,Female,88,26,11,18,0.4003566268398306,Yes,0,0
13,41,Female,77,89,23,10,0.9471529360063548,Yes,62,3
14,53,Male,21,10,21,107,0.4064627179520722,Yes,33,1
15,57,Male,41,53,4,14,0.7718360352301099,No,102,1
16,41,Female,137,79,7,75,0.483877264564259,Yes,9,2
17,20,Female,105,59,26,94,0.897532326522084,Yes,127,3
18,39,Male,101,22,15,162,0.9077612436501786,No,6,0
19,19,Male,40,51,18,153,0.0874168078710838,Yes,55,3
20,41,Male,87,48,12,130,0.9364933313102256,No,79,0
21,61,Male,29,21,17,101,0.8255348415204157,Yes,164,1
22,47,Female,69,22,1,78,0.7913107143126669,No,156,0
23,55,Male,143,98,11,119,0.2009113396855224,Yes,11,2
24,19,Female,102,30,28,174,0.8051192087546649,No,144,0
25,38,Female,52,25,1,55,0.8501327346850368,No,47,0
26,50,Female,139,28,15,60,0.2891503344541509,Yes,25,0
27,29,Male,69,65,28,45,0.9522600783623236,Yes,111,3
28,39,Male,40,45,21,36,0.0498601463991642,Yes,121,1
29,61,Male,14,68,10,19,0.1499092532471396,No,11,1
30,42,Male,19,7,7,66,0.5375811380515143,No,148,1
31,66,Female,98,49,2,159,0.5757924711223097,No,41,2
32,44,Male,139,9,10,32,0.6451500833009034,Yes,60,0
33,59,Male,135,36,24,68,0.0169691293154664,Yes,57,2
34,45,Female,20,83,4,134,0.9603667746221304,No,181,3
35,33,Male,65,1,12,131,0.0445880927341439,Yes,33,0
36,32,Female,92,10,19,40,0.1430619527234023,No,6,0
37,64,Female,146,36,26,118,0.0140145175260569,Yes,108,2
38,68,Female,108,73,11,17,0.5668584332940947,Yes,34,2
39,61,Female,82,46,8,19,0.9322668839209722,No,14,2
40,69,Female,124,32,18,93,0.6659471660804642,Yes,192,2
41,20,Female,16,32,11,26,0.8226574684804273,Yes,24,3
42,54,Female,89,6,11,78,0.01328120345858,Yes,58,0
43,68,Female,106,48,13,29,0.5420152984797261,Yes,78,2
44,24,Male,13,38,3,105,0.4595629775055219,Yes,85,3
45,38,Male,13,17,12,175,0.498967944220793,No,133,1
